
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
1851    6       2     0     1     0     0     
1852    5       3     1     1     0     0     
1853    8       1     1     1     1     0     
1854    5       1     1     1     0     0     
1855    5       1     2     1     0     0     
1856    6       2     0     1     1     0     
1857    4       1     2     0     0     0     
1858    6       4     2     0     0     0     
1859    8       3     3     1     0     0     
1860    7       1     4     1     0     0     
1861    8       4     2     0     0     0     
1862    6       1     2     0     0     0     
1863    9       1     4     0     0     0     
1864    5       3     0     0     0     0     
1865    7       1     2     0     0     0     
1866    7       2     3     0     1     0     
1867    9       2     4     1     0     0     
1868    4       1     3     0     0     0     
1869    10      2     4     1     0     0     
1870    11      5     3     2     0     0     
1871    8       3     1     2     0     0     
1872    5       3     1     0     0     0     
1873    5       1     0     2     0     0     
1874    7       3     1     0     0     0     
1875    6       3     1     1     0     0     
1876    5       1     1     2     0     0     
1877    8       2     0     1     0     0     
1878    12      4     4     1     1     0     
1879    8       2     2     2     0     0     
1880    11      6     1     0     2     0     
1881    7       2     2     0     0     0     
1882    6       2     0     1     1     0     
1883    4       2     0     2     0     0     
1884    4       2     1     1     0     0     
1885    8       5     1     0     0     0     
1886    12      1     5     3     1     0     
1887    19      6     4     2     0     0     
1888    9       2     2     2     0     0     
1889    9       4     2     0     0     0     
1890    4       1     0     1     0     0     
1891    10      3     3     1     0     0     
1892    9       2     3     0     0     0     
1893    12      1     4     4     1     0     
1894    7       0     1     3     1     0     
1895    6       0     2     0     0     0     
1896    7       0     4     2     0     0     
1897    6       2     1     0     0     0     
1898    11      3     1     0     1     0     
1899    10      0     3     1     1     0     
1900    7       0     1     1     1     0     
1901    13      5     1     0     0     0     
1902    5       1     2     0     0     0     
1903    10      3     3     1     0     0     
1904    6       4     0     0     0     0     
1905    5       0     0     1     0     0     
1906    11      2     1     2     1     0     
1907    5       0     0     0     0     0     
1908    10      2     3     1     0     0     
1909    12      0     2     4     0     0     
1910    5       0     2     0     1     0     
1911    6       1     2     0     0     0     
1912    7       2     1     1     0     0     
1913    6       4     0     0     0     0     
1914    1       0     0     0     0     0     
1915    6       1     1     1     2     0     
1916    15      2     3     4     1     0     
1917    4       0     0     1     1     0     
1918    6       1     2     1     0     0     
1919    5       0     1     0     1     0     
1920    5       2     2     0     0     0     
1921    7       4     0     1     1     0     
1922    5       1     1     1     0     0     
1923    9       2     1     1     0     0     
1924    11      3     1     1     0     1     
1925    4       2     0     0     0     0     
1926    11      0     2     2     4     0     
1927    8       2     1     1     0     0     
1928    6       2     1     0     0     1     
1929    5       2     0     0     1     0     
1930    3       0     0     1     1     0     
1931    13      1     1     0     1     0     
1932    15      2     1     0     2     2     
1933    20      4     2     1     3     2     
1934    13      3     3     1     0     0     
1935    8       1     1     0     2     1     
1936    17      3     3     1     0     0     
1937    11      2     2     1     0     0     
1938    9       1     1     1     0     1     
1939    6       2     0     0     1     0     
1940    9       2     5     0     0     0     
1941    6       1     0     2     1     0     
1942    11      1     2     1     0     0     
1943    10      0     3     1     1     0     
1944    14      4     1     1     1     1     
1945    11      1     2     1     1     0     
1946    7       2     2     0     0     0     
1947    10      1     2     1     1     0     
1948    10      2     0     2     2     0     
1949    22      6     2     1     1     0     
1950    23      7     4     3     3     0     
1951    21      6     1     1     2     0     
1952    18      3     3     1     1     0     
1953    18      6     0     2     0     1     
1954    27      6     2     2     1     0     
1955    19      3     4     1     2     1     
1956    23      9     1     1     0     0     
1957    21      8     1     2     2     0     
1958    25      5     4     0     3     0     
1959    29      7     0     1     3     1     
1960    15      7     0     1     1     0     
1961    21      5     1     0     3     2     
1962    16      4     2     0     0     0     
1963    18      6     2     2     1     0     
1964    18      2     1     1     4     0     
1965    20      2     2     0     1     0     
1966    30      11    0     2     0     1     
1967    34      8     2     1     1     1     
1968    32      10    1     0     0     0     
1969    33      11    2     2     0     1     
1970    40      5     5     1     1     0     
1971    40      6     5     5     1     1     
1972    33      4     3     4     1     0     
1973    29      5     2     1     2     1     
1974    38      7     3     3     2     0     
1975    40      5     3     4     3     0     
1976    36      5     3     3     4     0     
1977    23      7     1     0     0     1     
1978    43      7     3     2     7     0     
1979    30      4     2     2     3     1     
1980    32      6     5     3     1     1     
1981    37      9     2     3     1     0     
1982    31      6     2     4     2     0     
1983    27      4     2     4     5     0     
1984    41      6     4     3     5     0     
1985    37      8     1     7     4     0     
1986    27      8     2     0     3     0     
1987    34      5     3     3     2     0     
1988    41      5     2     1     4     1     
1989    39      8     2     2     3     1     
1990    41      13    4     3     4     0     
1991    28      5     2     4     3     0     
1992    40      5     4     3     7     1     
1993    28      3     2     3     7     0     
1994    34      4     4     0     2     3     
1995    32      6     4     2     6     0     
1996    26      5     1     5     3     0     
1997    33      3     1     2     4     4     
1998    30      6     4     4     4     1     
1999    30      2     5     1     6     0     
2000    40      6     3     2     3     0     
2001    36      8     3     2     4     0     
2002    33      2     2     3     2     3     
2003    38      6     5     1     1     1     
2004    33      5     1     3     5     1     
2005    48      10    3     3     2     4     
2006    35      5     3     5     2     1     
